                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                         ##########################         ############################                                                              
                         #........................#         #..........................#                                                              
                         #........................#         #..........................#                                                              
                         #..---...................#         #...-------------------....###########################                                    
                         #..---...................#         #...-------------------..............................#
                         #..---...................#         #...---.............---..............................#
                         #...-....................#         #...---.............---..............................#                                    
                         #...-.........*..........#         #...---.............---....#####################.....#
                         #...-....................#         #...---....................#                   #.....#                                    
                         #...-....................#         #..........................#                   #.....#                                    
                         #...-....................#         #..........................#                   #.....#                                    
                         #...-....................###########...................---....#                   #.....#                                    
                         #...-..................................................---....#                   #.....#                                    
                         #...-..................................................---....#                   #.....#                                    
                         #...-......s...........................................---....#                   #.....#
                         #..---.............---.................................---....#                   #.....#
                         #..---.............---...###########..........................#                   #.....#
                         #..---.............---...#         #................*.........#                   #.....#
                         #........................#         #..........................#                   #.....#                                    
                         #........................#         #..........................#                   #.....#                                    
                         #........................#         #############.......########        ############.....###########                          
                         #########....#############                     #.......#               #..........................#                          
                                 #....#                                 #.......#               #..........................#                          
                                 #....#                                 #.......#               #..........................#                          
                                 #....#                                 #.......#               #....---.............---...#                          
                                 #....#                                 #.......#               #....---........e....---...#
                                 #....#                                 #.......#               #....---.............---...#                          
                                 #....#                                 #.......#               #....---.............---...#                          
                                 #....#                                 #.......#               #....---.............---...#                          
            ######################....#############                     #.......#               #....---.............---...#                          
            #.....................................#                     #.......#               #....---....*........---...#
            #..........*........w...w...w...w.....#                     #.......#               #....---.............---...#
            #.....................................#              ########.......#######         #....---.............---...#                          
            0...$.................................#              #....................#         #....---.............---...#
            #.....................................#              #....................#         #....---.............---...#                          
            #....................w...w...w..w.....#              #....................#         #....---.............---...#
            #.....................................#              #..............*.....#         #....---.............---...#
            ###############################.......#              #..--................#         #....---.............---...#                          
                                          #.......#              #..--................#         #....---.............---...#
                                          #.......#              #..--................#         #....---.............---...#                          
                                          #.......#              #..--............a...#         #....................---...#
                                          #.......#              #..--................#         #..........................#
                                          #.......#              #....................#         #..........................#
                                          #.......#              #....................#         ######.................#####
                                          #.......#              #....................#              #.................#                              
                                          #.......#              #########.......######              #.................#                              
                                          #.......#                      #.......#                   #.................#                              
                            ###############.......############           #.......#                   ######........#####                              
                            #................................#           #.......#                        #........#                                  
                            #................................#           #.......#                        #........#                                  
                            #................................#           #.......#                        #....#####                                  
                            #................................#           #.......#                        #....#                                      
                            #................................#           #.......#                        #....#                                      
                            #.........--...........--........#           #.......#                        #....#                                      
                            #.........--...........--........#           #.......#                        #....#                                      
                            #.........--...........--........#############.......#                        #....#                                      
                            #.........--...........--............................#                        #....#                                      
                            #.........--.....e.....--............................#                        #....#
                            #.........--...........--............................#                        #....#
                            #.........--...........--............................#                        #....#                                      
                            #.........---------------............................#                        #....#                                      
                            #.........---------------............................#                        #....#
                            #.........---------------........#####################                        ##00##
                            #......*.........................#
                            #................................#                                                                                        
                            #................................#                                                                                        
                            #................................#                                                                                        
                            #................................#                                                                                        
                            ##################################
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
                                                                                                                                                      
